"","ListingCreationDateYear","ProsperRating.Alpha","Total_Amount_of_Loans","Median_Estimated_Return","Median_Actual_Return","ProsperRating_Alpha"
"1",2009,"A",509,0.0727,0.0344077351538068,"A"
"2",2009,"AA",320,0.06375,0.0257047288656508,"AA"
"3",2009,"B",110,0.0876,0.045529110546085,"B"
"4",2009,"C",425,0.1211,0.0591963742341366,"C"
"5",2009,"D",372,0.1477,0.065045693280398,"D"
"6",2009,"E",211,0.1727,0.0758384536799035,"E"
"7",2009,"HR",231,0.102,0.0659954926761401,"HR"
"8",2010,"A",928,0.0608,0.0375114136029886,"A"
"9",2010,"AA",623,0.055,0.0292409183098445,"AA"
"10",2010,"B",537,0.0772,0.0541456622439018,"B"
"11",2010,"C",568,0.1196,0.0617309671938769,"C"
"12",2010,"D",1315,0.1504,0.0760341246885812,"D"
"13",2010,"E",633,0.1756,0.0878470995176812,"E"
"14",2010,"HR",885,0.1229,0.089709941204845,"HR"
"15",2011,"A",889,0.0671,0.0398421000048428,"A"
"16",2011,"AA",384,0.04,0.0239656089216723,"AA"
"17",2011,"B",1044,0.0942,0.0493967450458584,"B"
"18",2011,"C",595,0.1147,0.0621986227118103,"C"
"19",2011,"D",2316,0.1357,0.0602316773546617,"D"
"20",2011,"E",1674,0.1487,0.0438209362911801,"E"
"21",2011,"HR",798,0.1148,0.0385409810040872,"HR"
"22",2012,"A",944,0.0662,0.0355729984749865,"A"
"23",2012,"AA",333,0.0549,0.0274313548319471,"AA"
"24",2012,"B",1189,0.0926,0.0494535851542552,"B"
"25",2012,"C",1588,0.111,0.0475031880451448,"C"
"26",2012,"D",1362,0.1189,0.0505687297186282,"D"
"27",2012,"E",899,0.1276,0.0573865666169422,"E"
"28",2012,"HR",1717,0.1246,0.0259914616862673,"HR"
"29",2013,"A",331,0.0691,0.0530369553150916,"A"
"30",2013,"AA",120,0.0498,0.0332459670364088,"AA"
"31",2013,"B",488,0.0858,0.0648388484326045,"B"
"32",2013,"C",617,0.0975,0.0856746666666668,"C"
"33",2013,"D",493,0.1051,0.0976941985770396,"D"
"34",2013,"E",401,0.1122,0.0916898733153295,"E"
"35",2013,"HR",94,0.1185,0.115532344762292,"HR"
"36",2014,"A",7,0.06499,0.0435913215722235,"A"
"37",2014,"AA",3,0.0426,0.0564134993576895,"AA"
"38",2014,"B",5,0.07077,0.0451548480977397,"B"
"39",2014,"C",24,0.080245,0.0705534558445782,"C"
"40",2014,"D",11,0.08821,0.0711076121638863,"D"
"41",2014,"E",12,0.099605,0.118256134414292,"E"
